empleado_id,nombre,ap_paterno,ap_materno,curp,email,cedula,sueldo_mesual,fecha_ingreso,gerente,administrativo,veterinario
10,MARISOL,SANCHEZ,PEREZ,SAPM880429MTSNRR00,MARISOL@gmail.com,73302099,6401,19/6/2017,1,1,1
11,MARTINA,ALTAMIRANO,CALDERON,AACM651123MTSLLR06,MARTINA@gmail.com,98082903,6802,23/12/2001,1,0,0
12,MAGDALENA,GONZALEZ,RODRIGUEZ,GORM680121MTSNDG06,MAGDALENA@gmail.com,77419974,8408,27/1/2011,0,1,0
13,GUADALUPE,RODRIGUEZ,BARTOLO,ROBG900321MTSDRD01,GUADALUPE@gmail.com,53611805,6398,16/7/2017,0,0,1
14,YULETH ARELY,ORTIZ,RODRIGUEZ,OIRY910429MTSRDL02,YULETH ARELY@gmail.com,19822104,5709,28/10/2014,1,1,0
15,JUAN,ESPINOZA,RODRIGUEZ,EIRJ720502HTSSDN06,JUAN@gmail.com,13488898,12441,17/11/2005,1,0,1
16,SALOME,RIVERA,VAZQUEZ,RIVS770301HTSVZL05,SALOME@gmail.com,19465793,7182,29/11/2004,1,1,1
17,EMMA PAULA,SOLIS,RAMIREZ,SORE610611MTSLMM04,EMMA PAULA@gmail.com,26769380,16699,15/6/2017,1,0,0
18,DANIEL,TINAJERO,TRISTAN,TITD600101HTSNRN09,DANIEL@gmail.com,76155603,16069,5/4/2008,0,1,0
19,SALVADOR,GALLARDO,MEDINA,GAMS661004HTSLDL05,SALVADOR@gmail.com,64820783,16168,22/5/2006,0,0,1
20,TERESO,ALVAREZ,LOPEZ,AALT601015HTSLPR00,TERESO@gmail.com,86146195,11020,6/9/2008,1,1,0
21,EFRAIN,GONZALEZ,RUBIO,GORE781222HTSNBF01,EFRAIN@gmail.com,57843675,14541,16/9/2018,1,0,1
22,GILBERTO,MARTINEZ,MARTINEZ,MAMG940610HTSRRL03,GILBERTO@gmail.com,42748642,6580,3/2/2018,1,1,1
23,CANDELARIO,TINAJERO,PAZ,TIPC490202HTSNZN07,CANDELARIO@gmail.com,10396593,15304,19/7/2018,1,0,0
24,RODOLFO,GAMBOA,CAMARILLO,GACR450423HSPMMD06,RODOLFO@gmail.com,45416415,19890,23/4/2018,0,1,0
25,JAIME,MARTINEZ,CARRILLO,MACJ730519HTSRRM06,JAIME@gmail.com,34877768,11095,25/5/2005,0,0,1
26,ISMAEL,GARCIA,OLGUIN,GAOI861117HTSRLS05,ISMAEL@gmail.com,90865477,11799,23/9/2018,1,1,0
27,JOSE,CASTILLO,RODRIGUEZ,CARJ291209HTSSDS07,JOSE@gmail.com,70627626,8995,16/12/2010,1,0,1
28,MAXIMINO,CASTILLO,CASTILLO,CACM700821HTSSSX04,MAXIMINO@gmail.com,75753013,16345,24/8/2003,1,1,1
29,RAUL,ESPRIELLA,NIETO,EINR840427HTSSTL05,RAUL@gmail.com,26470963,18012,30/9/2010,1,0,0
30,CARLOS,ROJAS,MORALES,ROMC590720HTSJRR04,CARLOS@gmail.com,23287385,15648,23/3/2016,0,1,0
